gpa_id,gpa_name,website,start_year,recent_year,subject_area,subject_collapsed,creator_name,creator_type,creator_clean,creator_collapsed,country,country_collapsed,ISO3,active
146,Sustainable Society Index,http://www.ssfindex.com/about-ssf/,2006,2016,Development,Development,Sustainable Society Foundation,3,NGO,NGO,Netherlands,Europe,NLD,TRUE
147,The African Report on Child Wellbeing / The Child Friendliness Index,http://www.africanchild.report,2008,2016,"Social, Development, Human Rights","Social, Development, Human Rights",African Child Policy Forum,3,NGO,NGO,Ethiopia,Global South,ETH,TRUE
148,The Enabling Trade Index,http://www3.weforum.org/docs/WEF_GlobalEnablingTrade_Report_2014.pdf,2008,2016,Trade,Trade & Finance,Word Economic Forum,5,IGO,IGO,Switzerland,Europe,CHE,TRUE
149,Trafficking in Persons report,http://www.state.gov/j/tip/rls/tiprpt/,2001,2018,Human Rights,Human Rights,US Department of State,2,National government,State,USA,United States,USA,TRUE
150,Travel and Tourism Competitiveness Report,https://www.weforum.org/reports/the-travel-tourism-competitiveness-report-2017,2007,2017,Trade,Trade & Finance,World Economic Forum,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
151,Trends in International Mathematics and Science Study (TIMSS),http://nces.ed.gov/Timss/,1995,2015,Education,Development,TIMSS and PIRLS International Study Center (Boston College) and the International Association for the Evaluation of Educational Achievement (IEA),6,NGO/university,Other,USA,United States,USA,TRUE
152,UN World Water Development Report,http://unesdoc.unesco.org/images/0022/002257/225741E.pdf,2003,2018,"Environment, Development","Environment, Development",UN,5,IGO,IGO,USA,United States,USA,TRUE
153,UN's Technology Achievement Index,http://unpan1.un.org/intradoc/groups/public/documents/apcity/unpan014340.pdf,2002,2009,"Technology, Development","Trade & Finance, Development",UN,5,IGO,IGO,USA,United States,USA,FALSE
154,US Chamber International IP Index,https://www.uschamber.com/press-release/us-chamber-releases-sixth-annual-international-ip-index,2012,2018,"Trade, Finance",Trade & Finance,GIPC,3,NGO,NGO,United States,United States,USA,TRUE
155,Web Index,http://thewebindex.org,2012,2014,"Technology, Development","Trade & Finance, Development",World Wide Web Foundation,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
156,WJP Rule of Law Index,http://worldjusticeproject.org/rule-law-index-map,2009,2018,Governance,Governance,World Justice Project,3,NGO,NGO,USA,United States,USA,TRUE
157,World Competitiveness Rankings,https://www.imd.org/wcc/world-competitiveness-center-rankings/world-competitiveness-ranking-2018/,1989,2018,Economic,Economic,International Institute for Management Development,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
158,World Giving Index,https://www.cafonline.org/publications/2013-publications/world-giving-index-2013.aspx,2010,2017,"Social, Development","Social, Development",Charities Aid Foundation,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
159,World Risk Index,https://ehs.unu.edu/blog/articles/world-risk-report-2016-the-importance-of-infrastructure.html,2011,2016,Environment,Environment,UNU-EHS,7,IGO/university,Other,Belgium,Europe,BEL,TRUE
